"team","offical_website","matches_played","total_wins","total_loses","total_goals","goals_conceded","clean_sheets","goals_per_match","shooting_accuracy","total_passes","pass_accuracy","own_goals","errors_leading_to_goal","yellow_cards","red_cards"
"Arsenal","www.arsenal.com","1042","567","214","1851","1019","402","1.78","36","257.78","84","41","111","1555","88"
"Aston Villa","www.avfc.co.uk","928","317","336","1121","1192","269","1.21","32","150.19","74","45","69","1368","57"
"AFC Bournemouth","www.afcb.co.uk","156","48","71","206","273","33","1.32","34","435.62","79","9","41","228","6"
"Brighton and Hove Albion","www.brightonandhovealbion.com","80","19","38","73","121","18","0.91","30","383","75","5","9","117","7"
"Burnley","www.burnleyfootballclub.com","194","52","97","195","303","44","1.01","32","348.22","70","12","21","329","7"
"Chelsea","www.chelseafc.com","1042","559","224","1776","1011","420","1.7","34","245.79","84","35","64","1633","78"
"Crystal Palace","www.cpfc.co.uk","392","113","182","428","566","99","1.09","32","209.73","74","15","50","616","20"
"Everton","www.evertonfc.com","1042","379","366","1361","1315","323","1.31","34","197.19","77","50","82","1578","94"
"Leicester City","www.lcfc.com","502","159","205","629","722","131","1.25","34","149.24","74","26","21","729","47"
"Liverpool","www.liverpoolfc.com","1043","533","247","1786","1049","395","1.71","34","246.08","81","39","88","1303","58"
"Manchester City","www.mancity.com","852","394","261","1388","978","279","1.63","35","307.83","83","37","59","1268","66"
"Manchester United","www.manutd.com","1043","649","167","1996","933","445","1.91","36","245.09","83","38","54","1482","66"
"Newcastle United","www.nufc.co.uk","924","347","342","1252","1240","242","1.35","32","174.57","76","29","66","1336","82"
"Norwich City","www.canaries.co.uk","320","90","138","371","520","67","1.16","32","186.83","75","17","39","399","15"
"Sheffield United","https","126","33","55","133","173","33","1.06","30","101.23","64","4","3","176","9"
"Southampton","www.southamptonfc.com","776","239","322","941","1093","208","1.21","33","156.78","78","36","61","1136","55"
"Tottenham Hotspur","www.tottenhamhotspur.com","1042","447","336","1554","1312","294","1.49","34","226.33","81","36","109","1511","64"
"Watford","www.watfordfc.com","232","59","121","242","385","49","1.04","32","308.77","72","16","30","419","22"
"West Ham United","www.whufc.com","886","292","365","1070","1276","234","1.21","32","193.34","76","35","78","1460","72"
"Wolverhampton Wanderers","https","194","48","94","208","332","34","1.07","30","313.79","74","12","27","335","14"
